"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1363802057.82932","1522193651.8637","1648463551.4576","1810857555.70578","2001255995.48195","2095259749.45466","2158919231.50221","2350908521.51772","2424685609.58266","2489440705.42339","2739898103.35414","2918754740.61725","2936102553.44684","3027319748.07174","3335469123.95673","3426871110.42673","3572376596.74459","3782521886.32566","3926175809.15729","3489075178.00144","3434946033.94178","3623931877.15193","3549697827.01878","3793907213.86807","3808447873.65563","3881688126.57656","3926948315.28476","4080273098.09897","4278670721.5542","4270959490.77484","3146467247.47262","3844492519.39592","4469402564.46605","4827649139.53984","",
"Africa Eastern and Southern","AFE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","562873516985.034","582677215790.859","584533968953.101","597629675196.704","621438721167.128","662839196106.006","712246969641.02","755872470141.155","778685636089.691","812300144286.188","859715145549.87","911601277641.998","962367821668.741","1013817259010.7","1099916939293.52","1205074122531.53","1325087162561.6","1452197754690.36","1547579769171.54","1569604213544.95","1670095308002.89","1772513283341.08","1774932343087.65","1892998738984.9","2025078959759.98","2098516264180.75","2213675928978.95","2370763310072.32","2399830262812.79","2530028408044.47","2520538632543.32","2786223906150.26","3094935963349.23","3266560801122.18","3447399081277.67",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16377032684.0049","15166333854.9981","19806995164.3761","21981995255.8636","22892320780.0904","26261445894.5918","28521625037.4871","33344679966.8373","35321124705.4034","43140953896.0125","49936634725.4957","51184181904.4289","60766467131.1993","67458857272.9888","72946664022.0665","77274315044.0326","76798750471.4042","83362066704.4832","89369237677.5116","97800733345.013","100094011602.726","85767546197.7544","86148711748.6848","91271896894.46","",
"Africa Western and Central","AFW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","364933151943.508","382021778683.56","399606984143.439","404215825210.215","412636991537.401","429972451205.563","458319235713.901","487150674199.752","510972249154.315","526907956531.789","558812312642.14","601299133434.781","668222614049.609","719394504659.539","797812193521.518","871367589134.943","945783292130.309","1023771453302.37","1109192854314.23","1181843393767.02","1279179722978.53","1371437225553.28","1455728330168.43","1557620103475.41","1682761623927.55","1710447333816.81","1731693053276.84","1807688225246.41","1916837975966.11","2082638365265.52","2127999646959.16","2306546845821.81","2571066726471.9","2754834316999.26","2942661070484.42",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38839000564.944","40550517455.9205","39053200833.4571","30390584820.7386","31455215609.0036","36931943526.9877","42701857933.2046","46598046523.6291","49332296061.0467","51121804410.2602","53876764896.2744","57406983088.1413","66266055980.4367","69594829726.7681","79291855043.3756","94069250793.3624","108170250183.937","126666092623.102","143527785551.207","145654989373.802","153909425850.932","162538811659.181","185178296910.381","197839278641.871","217021998765.783","200475818990.044","199721223732.138","211424030475.15","229965233516.952","243736138717.595","215784887951.053","255820605533.992","282403642417.848","295719779328.449","316269278905.416",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8725965875.64673","6494971136.37932","6165543579.84761","6915047133.14744","7649103429.57361","8849886430.61699","9673050157.49413","8687454824.8518","9653307058.70828","11033937334.6888","12284832047.454","13620831625.4925","14767949791.1299","15714336013.2424","16937390277.8523","18112067040.7321","20212730164.5506","22527491884.8191","24961568935.6313","26423570170.6128","28419225351.3526","29846424480.4471","30348654006.3871","30653691163.574","32696809829.5528","33840534295.4171","35112520544.852","37368669301.9669","39259416336.6027","42219281243.0817","41182550727.6019","45343111967.1762","54011348459.4688","58378809433.5428","63760906790.7788",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1310131885.03024","1388922114.71548","1433773796.37606","1452619188.84507","1518993228.47527","1593606271.86624","1698236547.21999","1884167759.81747","1966215054.51796","2075776156.14411","2197696491.5043","2429638531.0406","2579571697.17073","2859201638.01081","3174958697.51878","3451259350.68147","3728768817.98712","3889274660.19026","3743831887.45967","3567168967.98064","3539214037.97724","3611940399.90852","3496180919.82724","3429540494.942","3576657555.21929","3661620791.67048","3833543204.91048","3915698820.58319","4152298789.83756","4395348448.44156","4031176207.5678","4649508748.84024","5457407403.46601","5799854946.96513","6140390670.0909",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1516417114660.56","1624189838495.23","1766594332378.83","1865536408379.99","1962082900358.59","2054295516445.51","2190806136716.83","2348745251978.24","2498050040579.76","2611734560211.23","2843939022945.84","2970265960322.85","3046638193009.58","3215424569340.79","3611613491060.93","3928678746461.67","4293746637474.38","4606001952156.88","4957609574121.19","5019991448932.76","5325852901912.34","5657887638072.17","6123132540807.66","6252822238093.33","6312274884074.41","5859677203131.47","5798131124518.14","6178233251165.42","6760835154001.15","6967650584551.52","6478734719063.33","7371096765017.84","8449293584283.37","8886642358486.52","9253999567617.39",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165048348649.485","172097529992.161","181907133315.385","188567499466.891","205875343583.227","224249304381.303","241595714081.238","265890786302.607","269664153026.232","281417144049.497","319024983517.667","330772370346.192","344086842258.602","381759554538.276","429528265203.628","464504006610.807","525932447588.067","557382797831.616","586255468615.885","558944883526.871","574805592711.487","623132238927.049","645566759660.909","657868026081.152","687052388186.095","609998221091.021","604925118660.42","627578031229.294","701667873659.965","726238678138.084","614384479773.466","645375981350.196","743309077886.72","797922323198.497","847957424147.982",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234476844277.352","264545654095.111","292050532479.084","323509736778.801","349701129033.532","346874927371.834","372747062317.193","409929944205.048","430497422050.132","421808836974.514","427960175928.847","418303583400.374","378523791536.921","420107758525.601","470358838992.398","528046724347.489","588133949216.688","658480356265.582","698398185512.872","661115953562.315","736904550750.838","797263881242.037","819219854484.205","848625298160.51","838428063163.02","865155580188.784","882649216798.351","1035699067575.93","1090043170151.08","1057633159930.82","1011999397129.76","1191725417699.43","1343969240640.99","1369900046451.38","1378906089397.47",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9804759536.81031","8950386612.80216","5327833129.30445","4974157579.66486","5354705603.50387","5844198432.94977","6300253203.34117","6621742394.57029","7184981697.30371","7527115894.1806","8151779326.30288","9135524003.17559","10502118179.3831","12208787869.163","13853487621.1931","16273869613.1272","18990125434.4095","22176749551.127","24163709284.131","20884649142.4407","21603503567.4249","23085520248.3701","27043423649.5481","28572642912.7207","29343064966.5336","29315404012.9832","31629425029.462","35949453239.3726","38233278956.681","44365671088.179","43552758696.8095","47164867556.762","56893939956.673","63833326718.2115","69234115090.8141",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","819608596.224663","865771251.663144","895759895.279394","965408471.006148","1051852685.30775","1027086737.24417","1114970753.50882","1196252709.36757","1266931123.39748","1332498765.77347","1447217180.44904","1412500912.42759","1449186282.88348","1567598182.54281","1702588348.57241","1869648421.17262","2172230129.35438","2438910773.02227","2485553313.20349","2201706020.73879","2053740262.1647","2055053749.15776","2008004315.57078","1916318722.69576","1923668370.58425","1876287100.28153","1918178442.04757","1938005691.19943","2229888663.55951","2425768090.57419","2054603457.83519","2377570792.25983","2779062289.10061","2948949156.32379","3150959938.89349",
